galname,logd25,PA,INC,vmaxg,maskat,method,version
NGC0001,1.2,110.47,48.84,146,2.00E-03, block,3
NGC0014,1.18,23.1,55.7,35.2,1.00E-06, block,3
NGC0169,1.18,92.5,69.8,278,2.00E-03, block,3
NGC0495,1.04,168.8,49.2,100,2.00E-07, block,3
NGC0776,1.13,50,18.3,60,2.00E-03, block,3
NGC0932,1.3,40,24.4,90,1.20E-03, block,3
NGC1056,1.27,162.5,46.7,124.2,2.00E-05, block,3
NGC2449,1.16,135.5,73.7,101,2.00E-03, block,3
NGC2540,1.094,123.3,60.4,153,2.00E-03, block,3
NGC2691,1.1,166,47.9,182,2.00E-03, block,3
NGC3057,1.16,8,58.3,100,2.00E-03, block,3
NGC3106,0.95,150,26,102,2.00E-04, block,3
NGC3353,1.13,75.7,45.5,41.4,2.00E-04, block,3
NGC3395,1.2,40.5,57.8,86.1,2.00E-04, block,3
NGC3406NED01,1.16,84.4,62.3,150,2.00E-04, block,3
NGC3614,1.4,87.7,47,131.5,2.00E-04, block,3
NGC3619,1.59,25,42.4,165.1,2.00E-04, block,3
NGC3896,1.15,128.4,55.4,110.6,2.00E-04, block,3
NGC4003,1.02,159.7,65.2,150,2.00E-04, block,3
NGC5157,1.12,115.5,35.4,241,2.00E-04, block,3
NGC5216,1.23,54,83.9,150.1,2.00E-04, block,3
NGC5267,1.19,53.3,75.1,69.8,2.00E-04, block,3
NGC5376,1.17,66.3,54.8,135,2.00E-04, block,3
NGC5402,1.05,166,81.2,122.2,2.00E-04, block,3
NGC5631,1.29,150,0,165.4,2.00E-04, block,3
NGC5720,1.28,132,52,194.8,2.00E-04, block,3
NGC5888,1.12,156.7,54.6,150,2.00E-04, block,3
NGC5929,0.96,38.2,24.4,111.8,2.00E-03, block,3
NGC5954,1.01,19.2,63.6,111.4,2.00E-04, block,3
NGC5987,1.58,62,76.4,275.2,2.00E-04, block,3
NGC6132,1.11,126.5,79.9,154.6,2.00E-04, block,3
NGC6150B,0.96,142.9,78.8,150,2.00E-04, block,3
NGC6154,1.15,149.6,47.9,59.3,2.00E-04, block,3
NGC6338,1.24,16,66,150,2.00E-04, block,3
NGC6497,1.16,110.3,67.1,150,2.00E-04, block,3
UGC01659,1.14,38,69.4,196,2.00E-03, block,3
UGC01938,1.07,155,81.9,186.1,2.00E-04, block,3
UGC02134,1.21,106,71.8,150,2.00E-03, block,3
UGC02222,1.12,103,67.6,150,2.00E-04, block,3
UGC02239,1.12,14,86.2,150,5.00E-03, block,3
UGC03960,1.1,46.7,72.4,150,2.00E-04, block,3
UGC04054,1.25,353.3,85,105,2.00E-05, block,3
UGC04136,1.2,141.5,89.9,296,2.00E-03, block,3
UGC04245,1.15,107.7,78.5,163,2.00E-04, block,3
UGC04258,1,123.1,76.2,89,2.00E-04, block,3
UGC04262,1.3,151.7,40.6,188,2.00E-04, block,3
UGC04425,1.13,132.1,84.2,119.7,2.00E-04, block,3
UGC04659,1.15,108.5,80,79,2.00E-04, block,3
UGC04730,0.99,89.3,67.5,100,2.00E-04, block,3
UGC05326,0.97,146.1,16.9,60,2.00E-04, block,3
UGC05396,1.17,155.9,69.9,152.6,2.00E-04, block,3
UGC08004,1.04,5.6,68.7,133.9,2.00E-04, block,3
UGC08231,1.17,74.9,74.4,96.8,2.00E-04, block,3
UGC08234,1.21,142.1,80.2,150,2.00E-04, block,3
UGC08322,1.05,36.1,73,238.1,2.00E-04, block,3
UGC08733,1.29,6.3,62.2,80.9,2.00E-04, block,3
UGC08781,1.2,161.8,57.1,238.6,2.00E-04, block,3
UGC09598,1.21,122.1,71.2,177,2.00E-04, block,3
UGC09629,1.18,153.5,76.6,100,2.00E-04, block,3
UGC09777,0.97,149.6,68.2,135.5,2.00E-04, block,3
UGC10097,1.15,123.9,48.2,150,2.00E-04, block,3
UGC10905,1.18,171.7,68.4,150,2.00E-04, block,3
UGC8909,1.14,57.7,42.3,64.2,2.00E-04, block,3
UGC9663,1.14,22.2,41.9,47,2.00E-04, block,3
UGC9837,1.23,155,23.2,71.1,2.00E-04, block,3
CGCG163-062,0.83,132,12,13.9,2.00E-04, block,3
CGCG536-030,0.87,30.5,51.3,200,2.00E-04, block,3
IC0674,1.14,121,85.3,241.9,2.00E-04, block,3
IC3598,1.15,139.1,76,225.8,2.00E-04, block,3
Mrk1418,0.82,15.8,35.6,47.1,2.00E-04, block,3
